Nome,Patrimonio,CodigoInterno,NumeroSerie,IdentificacaoReserva,Categoria,Observacoes
METRALHADORA MTR 9MM,GEN-PAT-00021,GEN-INT-00021,00021,00021,METRALHADORA MTR 9MM,NORMAL
METRALHADORA MTR 9MM,GEN-PAT-02960,GEN-INT-02960,02960,02960,METRALHADORA MTR 9MM,NORMAL
METRALHADORA MTR 9MM,GEN-PAT-S/N,GEN-INT-S/N,S/N,S/N,METRALHADORA MTR 9MM,2
ESPINGARDA DE REPETIÇÃO MILITARY 3.0 RT CAL. 12,GEN-PAT-KPD4180525,GEN-INT-KPD4180525,KPD4180525,KPD4180525,ESPINGARDA DE REPETIÇÃO MILITARY 3.0 RT CAL. 12,Normal
ESPINGARDA DE REPETIÇÃO MILITARY 3.0 RT CAL. 12,GEN-PAT-KXF5131706,GEN-INT-KXF5131706,KXF5131706,KXF5131706,ESPINGARDA DE REPETIÇÃO MILITARY 3.0 RT CAL. 12,Normal
ESPINGARDA DE REPETIÇÃO MILITARY 3.0 RT CAL. 12,GEN-PAT-KXF5131731,GEN-INT-KXF5131731,KXF5131731,KXF5131731,ESPINGARDA DE REPETIÇÃO MILITARY 3.0 RT CAL. 12,Normal
ESPINGARDA DE REPETIÇÃO MILITARY 3.0 RT CAL. 12,GEN-PAT-KXE5131617,GEN-INT-KXE5131617,KXE5131617,KXE5131617,ESPINGARDA DE REPETIÇÃO MILITARY 3.0 RT CAL. 12,Normal
ESPINGARDA DE REPETIÇÃO MILITARY 3.0 RT CAL. 12,GEN-PAT-KXE5131550,GEN-INT-KXE5131550,KXE5131550,KXE5131550,ESPINGARDA DE REPETIÇÃO MILITARY 3.0 RT CAL. 12,Normal
ESPINGARDA DE REPETIÇÃO MILITARY 3.0 RT CAL. 12,GEN-PAT-KYE5198489,GEN-INT-KYE5198489,KYE5198489,KYE5198489,ESPINGARDA DE REPETIÇÃO MILITARY 3.0 RT CAL. 12,Normal
ESPINGARDA DE REPETIÇÃO MILITARY 3.0 RT CAL. 12,GEN-PAT-KYE5198524,GEN-INT-KYE5198524,KYE5198524,KYE5198524,ESPINGARDA DE REPETIÇÃO MILITARY 3.0 RT CAL. 12,Normal
ESPINGARDA DE REPETIÇÃO MILITARY 3.0 RT CAL. 12,GEN-PAT-KYE5198516,GEN-INT-KYE5198516,KYE5198516,KYE5198516,ESPINGARDA DE REPETIÇÃO MILITARY 3.0 RT CAL. 12,Normal
ESPINGARDA DE REPETIÇÃO MILITARY 3.0 RT CAL. 12,GEN-PAT-S/N,GEN-INT-S/N,S/N,S/N,ESPINGARDA DE REPETIÇÃO MILITARY 3.0 RT CAL. 12,08
FUZIL 762,GEN-PAT-62095,GEN-INT-62095,62095,62095,FUZIL 762,NORMAL
FUZIL 762,GEN-PAT-65184,GEN-INT-65184,65184,65184,FUZIL 762,NORMAL
FUZIL 762,GEN-PAT-68626,GEN-INT-68626,68626,68626,FUZIL 762,NORMAL
FUZIL 762,GEN-PAT-69278,GEN-INT-69278,69278,69278,FUZIL 762,NORMAL
FUZIL 762,GEN-PAT-69468,GEN-INT-69468,69468,69468,FUZIL 762,NORMAL
FUZIL 762,GEN-PAT-69961,GEN-INT-69961,69961,69961,FUZIL 762,NORMAL
FUZIL 762,GEN-PAT-70040,GEN-INT-70040,70040,70040,FUZIL 762,NORMAL
FUZIL 762,GEN-PAT-75458,GEN-INT-75458,75458,75458,FUZIL 762,NORMAL
FUZIL 762,GEN-PAT-80037,GEN-INT-80037,80037,80037,FUZIL 762,NORMAL
FUZIL 762,GEN-PAT-88507,GEN-INT-88507,88507,88507,FUZIL 762,NORMAL
FUZIL 762,GEN-PAT-93105,GEN-INT-93105,93105,93105,FUZIL 762,NORMAL
FUZIL 762,GEN-PAT-93109,GEN-INT-93109,93109,93109,FUZIL 762,NORMAL
FUZIL 762,GEN-PAT-107501,GEN-INT-107501,107501,107501,FUZIL 762,NORMAL
FUZIL 762,GEN-PAT-107513,GEN-INT-107513,107513,107513,FUZIL 762,NORMAL
FUZIL 762,GEN-PAT-66169,GEN-INT-66169,66169,66169,FUZIL 762,NORMAL
FUZIL 762,GEN-PAT-93819,GEN-INT-93819,93819,93819,FUZIL 762,NORMAL
FUZIL 762,GEN-PAT-83205,GEN-INT-83205,83205,83205,FUZIL 762,NORMAL
FUZIL 762,GEN-PAT-62029,GEN-INT-62029,62029,62029,FUZIL 762,NORMAL
FUZIL 762,GEN-PAT-S/N,GEN-INT-S/N,S/N,S/N,FUZIL 762,21
BAIONETAS,GEN-PAT-63263,GEN-INT-63263,63263,63263,BAIONETAS,NORMAL
BAIONETAS,GEN-PAT-65184,GEN-INT-65184,65184,65184,BAIONETAS,NORMAL
BAIONETAS,GEN-PAT-65906,GEN-INT-65906,65906,65906,BAIONETAS,NORMAL
BAIONETAS,GEN-PAT-65920,GEN-INT-65920,65920,65920,BAIONETAS,NORMAL
BAIONETAS,GEN-PAT-67425,GEN-INT-67425,67425,67425,BAIONETAS,NORMAL
BAIONETAS,GEN-PAT-69768,GEN-INT-69768,69768,69768,BAIONETAS,NORMAL
BAIONETAS,GEN-PAT-77678,GEN-INT-77678,77678,77678,BAIONETAS,NORMAL
BAIONETAS,GEN-PAT-83922,GEN-INT-83922,83922,83922,BAIONETAS,NORMAL
BAIONETAS,GEN-PAT-89399,GEN-INT-89399,89399,89399,BAIONETAS,NORMAL
BAIONETAS,GEN-PAT-106047,GEN-INT-106047,106047,106047,BAIONETAS,NORMAL
BAIONETAS,GEN-PAT-102208,GEN-INT-102208,102208,102208,BAIONETAS,NORMAL
BAIONETAS,GEN-PAT-S/N,GEN-INT-S/N,S/N,S/N,BAIONETAS,11
PISTOLA SPARK Z 2.0,GEN-PAT-SC0011409,GEN-INT-SC0011409,SC0011409,SC0011409,PISTOLA SPARK Z 2.0,NOVA
PISTOLA SPARK Z 2.0,GEN-PAT-S/N,GEN-INT-S/N,S/N,S/N,PISTOLA SPARK Z 2.0,01
FUZIL 762 AR-10,GEN-PAT-10-000545,GEN-INT-10-000545,10-000545,10-000545,FUZIL 762 AR-10,NORMAL
FUZIL 762 AR-10,GEN-PAT-10-000547,GEN-INT-10-000547,10-000547,10-000547,FUZIL 762 AR-10,NORMAL
FUZIL 762 AR-10,GEN-PAT-S/N,GEN-INT-S/N,S/N,S/N,FUZIL 762 AR-10,02
FUZIL CAL. 5.56 MD-97,GEN-PAT-S/N,GEN-INT-S/N,S/N,S/N,FUZIL CAL. 5.56 MD-97,01
CARABINA CAL. 5.56 MD-97,GEN-PAT-JAA 00772,GEN-INT-JAA 00772,JAA 00772,JAA 00772,CARABINA CAL. 5.56 MD-97,NORMAL
CARABINA CAL. 5.56 MD-97,GEN-PAT-JAA 00227,GEN-INT-JAA 00227,JAA 00227,JAA 00227,CARABINA CAL. 5.56 MD-97,NORMAL
CARABINA CAL. 5.56 MD-97,GEN-PAT-JAA 01721,GEN-INT-JAA 01721,JAA 01721,JAA 01721,CARABINA CAL. 5.56 MD-97,NORMAL
CARABINA CAL. 5.56 MD-97,GEN-PAT-S/N,GEN-INT-S/N,S/N,S/N,CARABINA CAL. 5.56 MD-97,03
CARABINA 556 IA2,GEN-PAT-JFA04965,GEN-INT-JFA04965,JFA04965,JFA04965,CARABINA 556 IA2,NORMAL
CARABINA 556 IA2,GEN-PAT-JFA10279,GEN-INT-JFA10279,JFA10279,JFA10279,CARABINA 556 IA2,NORMAL
CARABINA 556 IA2,GEN-PAT-JFA10212,GEN-INT-JFA10212,JFA10212,JFA10212,CARABINA 556 IA2,NORMAL
CARABINA 556 IA2,GEN-PAT-JFA10266,GEN-INT-JFA10266,JFA10266,JFA10266,CARABINA 556 IA2,NORMAL
CARABINA 556 IA2,GEN-PAT-JFA10216,GEN-INT-JFA10216,JFA10216,JFA10216,CARABINA 556 IA2,NORMAL
CARABINA 556 IA2,GEN-PAT-JFA10274,GEN-INT-JFA10274,JFA10274,JFA10274,CARABINA 556 IA2,NORMAL
CARABINA 556 IA2,GEN-PAT-JFA11806,GEN-INT-JFA11806,JFA11806,JFA11806,CARABINA 556 IA2,NORMAL
CARABINA 556 IA2,GEN-PAT-JFA11830,GEN-INT-JFA11830,JFA11830,JFA11830,CARABINA 556 IA2,NORMAL
CARABINA 556 IA2,GEN-PAT-JFA11840,GEN-INT-JFA11840,JFA11840,JFA11840,CARABINA 556 IA2,NORMAL
CARABINA 556 IA2,GEN-PAT-S/N,GEN-INT-S/N,S/N,S/N,CARABINA 556 IA2,10
CARABINA CAL. 5.56 M-15,GEN-PAT-15-005879A,GEN-INT-15-005879A,15-005879A,15-005879A,CARABINA CAL. 5.56 M-15,NORMAL
CARABINA CAL. 5.56 M-15,GEN-PAT-15-005880A,GEN-INT-15-005880A,15-005880A,15-005880A,CARABINA CAL. 5.56 M-15,NORMAL
CARABINA CAL. 5.56 M-15,GEN-PAT-S/N,GEN-INT-S/N,S/N,S/N,CARABINA CAL. 5.56 M-15,03
